filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
gpt-researcher\backend\server\websocket_manager.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",74,12,20,"[74, 75]",https://bandit.readthedocs.io/en/1.8.6/plugins/b110_try_except_pass.html
gpt-researcher\evals\hallucination_eval\run_eval.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,65,19,54,[65],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
gpt-researcher\evals\simple_evals\simpleqa_eval.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,116,24,65,[116],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
gpt-researcher\gpt_researcher\config\config.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,178,12,13,"[178, 179, 180, 181]",https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
gpt-researcher\gpt_researcher\config\config.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,207,12,13,"[207, 208, 209, 210]",https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
gpt-researcher\gpt_researcher\llm_provider\generic\base.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,5,0,17,[5],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_imports.html#b404-import-subprocess
gpt-researcher\gpt_researcher\llm_provider\generic\base.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,295,12,92,[295],https://bandit.readthedocs.io/en/1.8.6/plugins/b603_subprocess_without_shell_equals_true.html
gpt-researcher\gpt_researcher\mcp\streaming.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,79,30,123,[79],https://bandit.readthedocs.io/en/1.8.6/plugins/b608_hardcoded_sql_expressions.html
gpt-researcher\gpt_researcher\mcp\tool_selector.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,53,20,106,[53],https://bandit.readthedocs.io/en/1.8.6/plugins/b608_hardcoded_sql_expressions.html
gpt-researcher\gpt_researcher\retrievers\arxiv\arxiv.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,8,79,[11],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
gpt-researcher\gpt_researcher\retrievers\bing\bing.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Call to requests without timeout,66,15,64,[66],https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html
gpt-researcher\gpt_researcher\retrievers\custom\custom.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Call to requests without timeout,47,23,95,[47],https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html
gpt-researcher\gpt_researcher\retrievers\google\google.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Call to requests without timeout,68,15,32,[68],https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html
gpt-researcher\gpt_researcher\retrievers\google\google.py,try_except_continue,B112,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Continue detected.",96,12,24,"[96, 97]",https://bandit.readthedocs.io/en/1.8.6/plugins/b112_try_except_continue.html
gpt-researcher\gpt_researcher\retrievers\mcp\retriever.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",260,32,40,"[260, 261]",https://bandit.readthedocs.io/en/1.8.6/plugins/b110_try_except_pass.html
gpt-researcher\gpt_researcher\retrievers\mcp\retriever.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",262,24,32,"[262, 263]",https://bandit.readthedocs.io/en/1.8.6/plugins/b110_try_except_pass.html
gpt-researcher\gpt_researcher\retrievers\mcp\retriever.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",280,28,36,"[280, 281]",https://bandit.readthedocs.io/en/1.8.6/plugins/b110_try_except_pass.html
gpt-researcher\gpt_researcher\retrievers\pubmed_central\pubmed_central.py,blacklist,B405,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",2,0,34,[2],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_imports.html#b405-import-xml-etree
gpt-researcher\gpt_researcher\retrievers\pubmed_central\pubmed_central.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Call to requests without timeout,56,19,56,[56],https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html
gpt-researcher\gpt_researcher\retrievers\pubmed_central\pubmed_central.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Call to requests without timeout,99,19,56,[99],https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html
gpt-researcher\gpt_researcher\retrievers\pubmed_central\pubmed_central.py,blacklist,B314,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,116,15,41,[116],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b313-b320-xml-bad-elementtree
gpt-researcher\gpt_researcher\retrievers\pubmed_central\pubmed_central.py,blacklist,B314,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,143,15,41,[143],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b313-b320-xml-bad-elementtree
gpt-researcher\gpt_researcher\retrievers\searx\searx.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Call to requests without timeout,57,23,13,"[57, 58, 59, 60, 61]",https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html
gpt-researcher\gpt_researcher\retrievers\semantic_scholar\semantic_scholar.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,22,8,73,[22],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
