filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
chalice\chalice\cli\reloader.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,26,0,17,[26],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_imports.html#b404-import-subprocess
chalice\chalice\deploy\executor.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,256,8,78,[256],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\chalice\deploy\packager.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,7,0,17,[7],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_imports.html#b404-import-subprocess
chalice\chalice\deploy\packager.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak MD5 hash for security. Consider usedforsecurity=False,193,12,33,[193],https://bandit.readthedocs.io/en/1.8.6/plugins/b324_hashlib.html
chalice\chalice\deploy\packager.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak MD5 hash for security. Consider usedforsecurity=False,365,12,28,[365],https://bandit.readthedocs.io/en/1.8.6/plugins/b324_hashlib.html
chalice\chalice\deploy\packager.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak MD5 hash for security. Consider usedforsecurity=False,461,12,33,[461],https://bandit.readthedocs.io/en/1.8.6/plugins/b324_hashlib.html
chalice\chalice\deploy\packager.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,986,12,9,"[986, 987, 988, 989, 990, 991]",https://bandit.readthedocs.io/en/1.8.6/plugins/b603_subprocess_without_shell_equals_true.html
chalice\chalice\policy.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,84,8,48,[84],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\chalice\templates\0000-rest-api\tests\test_app.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,8,55,[8],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\chalice\templates\0007-lambda-only\tests\test_app.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,8,53,[8],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\chalice\utils.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,12,0,17,[12],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_imports.html#b404-import-subprocess
chalice\chalice\utils.py,tarfile_unsafe_members,B202,HIGH,HIGH,https://cwe.mitre.org/data/definitions/22.html,tarfile.extractall used without any validation. Please check and discard dangerous members.,234,12,36,[234],https://bandit.readthedocs.io/en/1.8.6/plugins/b202_tarfile_unsafe_members.html
chalice\chalice\utils.py,tarfile_unsafe_members,B202,HIGH,HIGH,https://cwe.mitre.org/data/definitions/22.html,tarfile.extractall used without any validation. Please check and discard dangerous members.,246,12,38,[246],https://bandit.readthedocs.io/en/1.8.6/plugins/b202_tarfile_unsafe_members.html
chalice\chalice\utils.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,351,12,76,[351],https://bandit.readthedocs.io/en/1.8.6/plugins/b603_subprocess_without_shell_equals_true.html
chalice\docs\source\samples\todo-app\code\create-resources.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",121,4,12,"[121, 122]",https://bandit.readthedocs.io/en/1.8.6/plugins/b110_try_except_pass.html
chalice\docs\source\samples\todo-app\code\tests\test_db.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,8,63,[26],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\docs\source\samples\todo-app\code\tests\test_db.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,55,8,63,[55],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Call to requests without timeout,104,19,47,[104],https://bandit.readthedocs.io/en/1.8.6/plugins/b113_request_without_timeout.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,256,4,61,[256],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,260,4,72,[260],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,264,4,66,[264],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,265,4,66,[265],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,282,4,5,"[282, 283, 284]",https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,297,4,33,[297],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,298,4,41,[298],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,299,4,59,[299],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,312,4,33,[312],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,313,4,37,[313],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
chalice\tests\aws\test_features.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,314,4,58,[314],https://bandit.readthedocs.io/en/1.8.6/plugins/b101_assert_used.html
