Commit Hash,Commit Message,File Name,Source Code Before File Path,Source Code After File Path,Diff File Path,LLM Inference (fix type),Rectified Message,MI_Before,MI_After,CC_Before,CC_After,LOC_Before,LOC_After,MI_Change,CC_Change,LOC_Change
54d0e36fd0230594254f19b618171f590b09ee43,"added chi Squared""
""",LanguageChecker.py,codes/54d0e36fd0230594254f19b618171f590b09ee43_LanguageChecker.py_before.txt,codes/54d0e36fd0230594254f19b618171f590b09ee43_LanguageChecker.py_after.txt,diffs/54d0e36fd0230594254f19b618171f590b09ee43_LanguageChecker.py_diff.txt,add missing language checker,add missing language checker,,,,,,,,,
54d0e36fd0230594254f19b618171f590b09ee43,"added chi Squared""
""",LanguageChecker.cpython-36.pyc,codes/54d0e36fd0230594254f19b618171f590b09ee43_LanguageChecker.cpython-36.pyc_before.txt,codes/54d0e36fd0230594254f19b618171f590b09ee43_LanguageChecker.cpython-36.pyc_after.txt,diffs/54d0e36fd0230594254f19b618171f590b09ee43_LanguageChecker.cpython-36.pyc_diff.txt,fix commit,add missing `--format` option,,,,,,,,,
54d0e36fd0230594254f19b618171f590b09ee43,"added chi Squared""
""",ciphey-main.py,codes/54d0e36fd0230594254f19b618171f590b09ee43_ciphey-main.py_before.txt,codes/54d0e36fd0230594254f19b618171f590b09ee43_ciphey-main.py_after.txt,diffs/54d0e36fd0230594254f19b618171f590b09ee43_ciphey-main.py_diff.txt,add help for --file and --level,add missing import,,,,,,,,,
54d0e36fd0230594254f19b618171f590b09ee43,"added chi Squared""
""",main.py,codes/54d0e36fd0230594254f19b618171f590b09ee43_main.py_before.txt,codes/54d0e36fd0230594254f19b618171f590b09ee43_main.py_after.txt,diffs/54d0e36fd0230594254f19b618171f590b09ee43_main.py_diff.txt,add newline at the end of file,fix typo in diff summary,,,,,,,,,
21adbd61fb2fb19bd135b1c0107c82b4f0c704bb,worked on chi squared and started building a new maths helper class,LanguageChecker.py,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_LanguageChecker.py_before.txt,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_LanguageChecker.py_after.txt,diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_LanguageChecker.py_diff.txt,update commit.py,update commit message,,,,,,,,,
21adbd61fb2fb19bd135b1c0107c82b4f0c704bb,worked on chi squared and started building a new maths helper class,LanguageChecker.cpython-36.pyc,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_LanguageChecker.cpython-36.pyc_before.txt,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_LanguageChecker.cpython-36.pyc_after.txt,diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_LanguageChecker.cpython-36.pyc_diff.txt,fix commit,add missing `after` tag in `fix` output,,,,,,,,,
21adbd61fb2fb19bd135b1c0107c82b4f0c704bb,worked on chi squared and started building a new maths helper class,ciphey-main.py,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_ciphey-main.py_before.txt,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_ciphey-main.py_after.txt,diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_ciphey-main.py_diff.txt,update commit.py,update commit message,,,,,,,,,
21adbd61fb2fb19bd135b1c0107c82b4f0c704bb,worked on chi squared and started building a new maths helper class,activate,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_activate_before.txt,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_activate_after.txt,diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_activate_diff.txt,add zsh support,fix zsh commit,,,,,,,,,
21adbd61fb2fb19bd135b1c0107c82b4f0c704bb,worked on chi squared and started building a new maths helper class,activate.csh,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_activate.csh_before.txt,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_activate.csh_after.txt,diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_activate.csh_diff.txt,add tests for python 3.3,fix typo in activate.csh,,,,,,,,,
21adbd61fb2fb19bd135b1c0107c82b4f0c704bb,worked on chi squared and started building a new maths helper class,activate.fish,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_activate.fish_before.txt,codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_activate.fish_after.txt,diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_activate.fish_diff.txt,update the commit message,fix typo in activate.fish,,,,,,,,,
