CWE_ID,Is_Top_25,bandit_Detected,bandit_Findings,codeql_Detected,codeql_Findings,semgrep_Detected,semgrep_Findings
CWE-134,False,False,0,False,0,True,1
CWE-20,True,True,5,False,0,False,0
CWE-22,True,True,3,True,9,True,1
CWE-250,False,False,0,False,0,True,1
CWE-259,False,True,17,False,0,False,0
CWE-319,False,False,0,False,0,True,4
CWE-321,False,False,0,False,0,True,1
CWE-327,True,True,7,False,0,False,0
CWE-330,False,True,61,False,0,False,0
CWE-352,True,False,0,False,0,True,1
CWE-353,False,False,0,False,0,True,4
CWE-377,False,True,2,False,0,False,0
CWE-400,False,True,11,False,0,False,0
CWE-502,True,True,2,False,0,True,2
CWE-532,False,False,0,True,2,False,0
CWE-605,False,True,10,False,0,False,0
CWE-703,False,True,2199,False,0,False,0
CWE-706,False,False,0,False,0,True,1
CWE-732,True,True,2,False,0,False,0
CWE-78,True,True,28,False,0,False,0
CWE-79,True,False,0,False,0,True,7
CWE-89,True,True,2,False,0,False,0
CWE-939,False,False,0,False,0,True,1
CWE-942,False,False,0,False,0,True,1
