filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
pythonrobotics\ArmNavigation\n_joint_arm_3d\random_forward_kinematics.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,11,21,36,[11],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
pythonrobotics\ArmNavigation\n_joint_arm_3d\random_inverse_kinematics.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,11,21,36,[11],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
pythonrobotics\ArmNavigation\n_joint_arm_to_point_control\n_joint_arm_to_point_control.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,86,20,28,[86],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
pythonrobotics\ArmNavigation\n_joint_arm_to_point_control\n_joint_arm_to_point_control.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,87,20,28,[87],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
pythonrobotics\ArmNavigation\rrt_star_seven_joint_arm_control\rrt_star_seven_joint_arm_control.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,232,11,33,[232],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
pythonrobotics\ArmNavigation\two_joint_arm_to_point_control\two_joint_arm_to_point_control.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,128,18,26,[128],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
pythonrobotics\ArmNavigation\two_joint_arm_to_point_control\two_joint_arm_to_point_control.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,129,18,26,[129],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
pythonrobotics\Mapping\circle_fitting\circle_fitting.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,81,34,60,[81],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
pythonrobotics\Mapping\kmeans_clustering\kmeans_clustering.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,69,23,53,[69],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
pythonrobotics\Mapping\kmeans_clustering\kmeans_clustering.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,115,38,53,[115],https://bandit.readthedocs.io/en/1.8.6/blacklists/blacklist_calls.html#b311-random
